"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","59014",2,0,0,0
"2","59022",1,0,0,0
"3","59030",1,0,0,0
"4","59034",1,0,0,0
"5","59036",1,0,0,0
"6","59037",0,0,0,0
"7","59043",1,0,0,0
"8","59044",5,1,0,0
"9","59047",3,0,0,0
"10","59068",3,0,0,0
"11","59070",1,0,0,0
"12","59072",1,0,0,0
"13","59079",0,0,0,0
"14","59101",10,1,0,0
"15","59102",26,4,1,1
"16","59103",1,1,0,0
"17","59104",2,1,0,0
"18","59105",10,2,0,0
"19","59106",9,1,0,0
"20","59213",0,0,0,0
"21","59218",0,0,0,0
"22","59219",1,0,0,0
"23","59221",1,0,0,0
"24","59225",1,0,0,0
"25","59230",0,0,0,0
"26","59254",3,1,0,0
"27","59270",1,0,0,0
"28","59301",0,0,0,0
"29","59401",9,1,0,0
"30","59402",0,0,0,0
"31","59404",5,0,0,0
"32","59405",12,1,0,0
"33","59412",2,0,0,0
"34","59417",1,0,0,0
"35","59425",2,0,0,0
"36","59427",2,0,0,0
"37","59430",1,0,0,0
"38","59434",1,0,0,0
"39","59436",1,1,0,0
"40","59448",1,0,0,0
"41","59453",0,0,0,0
"42","59457",0,0,0,0
"43","59462",2,0,0,0
"44","59464",1,0,0,0
"45","59468",1,0,0,0
"46","59472",1,0,0,0
"47","59474",2,0,0,0
"48","59484",1,0,0,0
"49","59501",1,0,0,0
"50","59520",0,0,0,0
"51","59523",1,0,0,0
"52","59538",2,0,0,0
"53","59601",13,3,0,0
"54","59602",9,0,0,0
"55","59604",1,0,0,0
"56","59624",1,1,0,0
"57","59625",1,0,0,0
"58","59632",1,0,0,0
"59","59634",6,3,1,1
"60","59635",1,1,0,0
"61","59645",1,0,0,0
"62","59701",10,0,0,0
"63","59702",0,0,0,0
"64","59711",1,0,0,0
"65","59714",3,0,0,0
"66","59715",13,4,1,1
"67","59718",9,1,0,0
"68","59720",1,1,1,1
"69","59722",2,1,0,0
"70","59725",2,0,0,0
"71","59728",1,0,0,0
"72","59730",0,0,0,0
"73","59740",1,0,0,0
"74","59741",0,0,0,0
"75","59747",1,0,0,0
"76","59749",1,0,0,0
"77","59754",1,0,0,0
"78","59758",0,0,0,0
"79","59759",0,0,0,0
"80","59771",0,0,0,0
"81","59801",14,2,1,1
"82","59802",5,2,0,0
"83","59803",4,1,0,0
"84","59804",0,0,0,0
"85","59806",1,0,0,0
"86","59807",1,1,0,0
"87","59808",3,0,0,0
"88","59821",0,0,0,0
"89","59823",1,1,0,0
"90","59824",1,0,0,0
"91","59826",1,1,0,0
"92","59828",1,0,0,0
"93","59832",0,0,0,0
"94","59833",2,0,0,0
"95","59834",1,1,0,0
"96","59837",0,0,0,0
"97","59840",6,0,0,0
"98","59841",1,0,0,0
"99","59843",1,0,0,0
"100","59845",1,0,0,0
"101","59846",3,0,0,0
"102","59847",0,0,0,0
"103","59855",1,0,0,0
"104","59860",2,0,0,0
"105","59864",0,0,0,0
"106","59870",1,0,0,0
"107","59872",1,0,0,0
"108","59875",1,1,1,1
"109","59901",18,4,0,0
"110","59903",3,0,0,0
"111","59911",1,1,1,1
"112","59912",6,1,1,1
"113","59913",1,0,0,0
"114","59917",1,0,0,0
"115","59922",0,0,0,0
"116","59923",0,0,0,0
"117","59935",1,0,0,0
"118","59937",6,3,0,0
