"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","84003",0,0,0,0
"2","84004",0,0,0,0
"3","84005",0,0,0,0
"4","84010",1,1,0,0
"5","84014",0,0,0,0
"6","84015",0,0,0,0
"7","84020",1,1,1,0
"8","84026",0,0,0,0
"9","84032",0,0,0,0
"10","84036",0,0,0,0
"11","84037",0,0,0,0
"12","84040",1,1,0,0
"13","84041",0,0,0,0
"14","84043",0,0,0,0
"15","84044",0,0,0,0
"16","84047",0,0,0,0
"17","84049",0,0,0,0
"18","84050",0,0,0,0
"19","84054",0,0,0,0
"20","84055",0,0,0,0
"21","84057",0,0,0,0
"22","84058",0,0,0,0
"23","84060",1,1,1,0
"24","84062",0,0,0,0
"25","84064",0,0,0,0
"26","84065",0,0,0,0
"27","84067",0,0,0,0
"28","84068",0,0,0,0
"29","84070",0,0,0,0
"30","84074",0,0,0,0
"31","84075",0,0,0,0
"32","84078",0,0,0,0
"33","84081",0,0,0,0
"34","84083",0,0,0,0
"35","84084",0,0,0,0
"36","84087",0,0,0,0
"37","84088",0,0,0,0
"38","84092",0,0,0,0
"39","84093",0,0,0,0
"40","84094",0,0,0,0
"41","84095",0,0,0,0
"42","84096",0,0,0,0
"43","84097",0,0,0,0
"44","84098",1,1,0,0
"45","84101",0,0,0,0
"46","84102",0,0,0,0
"47","84103",1,1,0,0
"48","84104",0,0,0,0
"49","84105",1,1,1,1
"50","84106",0,0,0,0
"51","84107",0,0,0,0
"52","84108",3,3,2,1
"53","84109",4,4,4,1
"54","84115",0,0,0,0
"55","84116",0,0,0,0
"56","84117",2,2,1,1
"57","84118",0,0,0,0
"58","84119",0,0,0,0
"59","84120",0,0,0,0
"60","84121",1,1,0,0
"61","84123",0,0,0,0
"62","84124",0,0,0,0
"63","84128",0,0,0,0
"64","84158",0,0,0,0
"65","84310",0,0,0,0
"66","84315",0,0,0,0
"67","84318",0,0,0,0
"68","84319",0,0,0,0
"69","84321",1,1,0,0
"70","84323",0,0,0,0
"71","84326",0,0,0,0
"72","84328",0,0,0,0
"73","84332",0,0,0,0
"74","84333",0,0,0,0
"75","84335",0,0,0,0
"76","84339",0,0,0,0
"77","84340",0,0,0,0
"78","84341",0,0,0,0
"79","84401",0,0,0,0
"80","84403",1,1,0,0
"81","84404",0,0,0,0
"82","84405",0,0,0,0
"83","84414",1,1,0,0
"84","84601",0,0,0,0
"85","84604",0,0,0,0
"86","84606",0,0,0,0
"87","84627",0,0,0,0
"88","84646",0,0,0,0
"89","84647",0,0,0,0
"90","84648",0,0,0,0
"91","84655",0,0,0,0
"92","84663",0,0,0,0
"93","84664",0,0,0,0
"94","84711",0,0,0,0
"95","84720",2,2,2,0
"96","84721",0,0,0,0
"97","84726",0,0,0,0
"98","84736",0,0,0,0
"99","84737",0,0,0,0
"100","84738",0,0,0,0
"101","84741",0,0,0,0
"102","84742",1,1,1,0
"103","84745",0,0,0,0
"104","84761",0,0,0,0
"105","84770",0,0,0,0
"106","84780",0,0,0,0
"107","84790",0,0,0,0
