"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","48017",0,0,0,0
"2","48021",0,0,0,0
"3","48023",0,0,0,0
"4","48025",0,0,0,0
"5","48033",0,0,0,0
"6","48038",0,0,0,0
"7","48045",0,0,0,0
"8","48054",0,0,0,0
"9","48060",0,0,0,0
"10","48064",0,0,0,0
"11","48066",0,0,0,0
"12","48082",0,0,0,0
"13","48084",0,0,0,0
"14","48088",0,0,0,0
"15","48092",0,0,0,0
"16","48101",0,0,0,0
"17","48105",0,0,0,0
"18","48108",0,0,0,0
"19","48116",0,0,0,0
"20","48122",0,0,0,0
"21","48125",0,0,0,0
"22","48126",0,0,0,0
"23","48127",0,0,0,0
"24","48128",0,0,0,0
"25","48134",0,0,0,0
"26","48144",0,0,0,0
"27","48146",0,0,0,0
"28","48160",0,0,0,0
"29","48161",0,0,0,0
"30","48162",0,0,0,0
"31","48169",0,0,0,0
"32","48170",0,0,0,0
"33","48174",0,0,0,0
"34","48178",0,0,0,0
"35","48183",0,0,0,0
"36","48184",0,0,0,0
"37","48185",0,0,0,0
"38","48187",0,0,0,0
"39","48188",0,0,0,0
"40","48192",0,0,0,0
"41","48198",0,0,0,0
"42","48203",0,0,0,0
"43","48204",0,0,0,0
"44","48206",0,0,0,0
"45","48207",0,0,0,0
"46","48208",0,0,0,0
"47","48212",0,0,0,0
"48","48214",0,0,0,0
"49","48221",0,0,0,0
"50","48224",0,0,0,0
"51","48227",0,0,0,0
"52","48228",0,0,0,0
"53","48230",1,1,1,1
"54","48234",0,0,0,0
"55","48235",0,0,0,0
"56","48238",0,0,0,0
"57","48239",0,0,0,0
"58","48304",0,0,0,0
"59","48306",0,0,0,0
"60","48316",0,0,0,0
"61","48326",0,0,0,0
"62","48328",0,0,0,0
"63","48329",0,0,0,0
"64","48331",0,0,0,0
"65","48340",0,0,0,0
"66","48341",0,0,0,0
"67","48342",0,0,0,0
"68","48356",0,0,0,0
"69","48363",0,0,0,0
"70","48386",0,0,0,0
"71","48390",0,0,0,0
"72","48412",0,0,0,0
"73","48420",0,0,0,0
"74","48421",0,0,0,0
"75","48430",0,0,0,0
"76","48439",0,0,0,0
"77","48442",0,0,0,0
"78","48444",0,0,0,0
"79","48463",0,0,0,0
"80","48473",0,0,0,0
"81","48475",0,0,0,0
"82","48476",0,0,0,0
"83","48504",0,0,0,0
"84","48506",0,0,0,0
"85","48507",0,0,0,0
"86","48519",0,0,0,0
"87","48601",0,0,0,0
"88","48602",0,0,0,0
"89","48609",0,0,0,0
"90","48624",0,0,0,0
"91","48708",0,0,0,0
"92","48750",0,0,0,0
"93","48801",0,0,0,0
"94","48838",0,0,0,0
"95","48840",0,0,0,0
"96","48843",0,0,0,0
"97","48858",1,0,0,0
"98","48864",0,0,0,0
"99","48880",0,0,0,0
"100","48883",0,0,0,0
"101","48884",0,0,0,0
"102","48893",0,0,0,0
"103","48906",0,0,0,0
"104","48910",0,0,0,0
"105","48911",0,0,0,0
"106","48915",0,0,0,0
"107","49002",0,0,0,0
"108","49008",0,0,0,0
"109","49009",0,0,0,0
"110","49010",0,0,0,0
"111","49015",0,0,0,0
"112","49017",0,0,0,0
"113","49036",0,0,0,0
"114","49048",0,0,0,0
"115","49079",1,0,0,0
"116","49080",0,0,0,0
"117","49083",0,0,0,0
"118","49085",0,0,0,0
"119","49099",0,0,0,0
"120","49107",0,0,0,0
"121","49120",0,0,0,0
"122","49201",0,0,0,0
"123","49202",0,0,0,0
"124","49221",0,0,0,0
"125","49230",0,0,0,0
"126","49240",0,0,0,0
"127","49265",0,0,0,0
"128","49301",0,0,0,0
"129","49310",0,0,0,0
"130","49320",0,0,0,0
"131","49331",0,0,0,0
"132","49341",0,0,0,0
"133","49343",0,0,0,0
"134","49401",0,0,0,0
"135","49412",0,0,0,0
"136","49424",0,0,0,0
"137","49428",0,0,0,0
"138","49431",0,0,0,0
"139","49441",0,0,0,0
"140","49461",0,0,0,0
"141","49503",0,0,0,0
"142","49504",0,0,0,0
"143","49507",0,0,0,0
"144","49508",0,0,0,0
"145","49525",0,0,0,0
"146","49544",0,0,0,0
"147","49548",0,0,0,0
"148","49616",0,0,0,0
"149","49735",0,0,0,0
"150","49740",0,0,0,0
"151","49783",1,1,0,0
"152","49801",0,0,0,0
"153","49849",0,0,0,0
"154","49855",0,0,0,0
