"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","63005",0,0,0,0
"2","63010",0,0,0,0
"3","63011",0,0,0,0
"4","63016",0,0,0,0
"5","63017",0,0,0,0
"6","63020",0,0,0,0
"7","63021",0,0,0,0
"8","63025",0,0,0,0
"9","63026",0,0,0,0
"10","63028",0,0,0,0
"11","63031",1,0,0,0
"12","63033",0,0,0,0
"13","63040",0,0,0,0
"14","63048",0,0,0,0
"15","63049",0,0,0,0
"16","63052",0,0,0,0
"17","63055",0,0,0,0
"18","63069",0,0,0,0
"19","63077",0,0,0,0
"20","63084",0,0,0,0
"21","63090",0,0,0,0
"22","63105",0,0,0,0
"23","63108",0,0,0,0
"24","63109",0,0,0,0
"25","63110",0,0,0,0
"26","63111",0,0,0,0
"27","63114",1,0,0,0
"28","63115",0,0,0,0
"29","63116",2,0,0,0
"30","63117",1,0,0,0
"31","63118",0,0,0,0
"32","63119",0,0,0,0
"33","63121",0,0,0,0
"34","63122",0,0,0,0
"35","63123",0,0,0,0
"36","63124",1,0,0,0
"37","63125",0,0,0,0
"38","63127",0,0,0,0
"39","63128",0,0,0,0
"40","63129",1,0,0,0
"41","63130",0,0,0,0
"42","63131",1,0,0,0
"43","63132",0,0,0,0
"44","63133",0,0,0,0
"45","63134",0,0,0,0
"46","63136",0,0,0,0
"47","63137",0,0,0,0
"48","63138",1,0,0,0
"49","63139",0,0,0,0
"50","63141",0,0,0,0
"51","63146",0,0,0,0
"52","63147",0,0,0,0
"53","63301",0,0,0,0
"54","63303",0,0,0,0
"55","63304",0,0,0,0
"56","63333",0,0,0,0
"57","63361",0,0,0,0
"58","63366",0,0,0,0
"59","63368",0,0,0,0
"60","63376",0,0,0,0
"61","63379",0,0,0,0
"62","63383",1,0,0,0
"63","63385",0,0,0,0
"64","63501",0,0,0,0
"65","63701",0,0,0,0
"66","64012",0,0,0,0
"67","64014",0,0,0,0
"68","64015",0,0,0,0
"69","64018",0,0,0,0
"70","64024",0,0,0,0
"71","64029",0,0,0,0
"72","64030",0,0,0,0
"73","64040",0,0,0,0
"74","64050",0,0,0,0
"75","64052",0,0,0,0
"76","64055",1,0,0,0
"77","64056",0,0,0,0
"78","64060",1,0,0,0
"79","64064",0,0,0,0
"80","64067",0,0,0,0
"81","64068",0,0,0,0
"82","64075",0,0,0,0
"83","64079",0,0,0,0
"84","64081",0,0,0,0
"85","64082",0,0,0,0
"86","64083",0,0,0,0
"87","64085",0,0,0,0
"88","64086",0,0,0,0
"89","64089",0,0,0,0
"90","64093",0,0,0,0
"91","64110",0,0,0,0
"92","64112",0,0,0,0
"93","64113",1,0,0,0
"94","64114",0,0,0,0
"95","64116",0,0,0,0
"96","64117",0,0,0,0
"97","64118",0,0,0,0
"98","64119",0,0,0,0
"99","64124",0,0,0,0
"100","64126",0,0,0,0
"101","64127",0,0,0,0
"102","64131",0,0,0,0
"103","64133",2,0,0,0
"104","64134",0,0,0,0
"105","64138",0,0,0,0
"106","64145",0,0,0,0
"107","64149",0,0,0,0
"108","64151",1,0,0,0
"109","64152",1,0,0,0
"110","64153",0,0,0,0
"111","64154",0,0,0,0
"112","64155",0,0,0,0
"113","64158",0,0,0,0
"114","64468",0,0,0,0
"115","64772",0,0,0,0
"116","64801",0,0,0,0
"117","64850",0,0,0,0
"118","64870",0,0,0,0
"119","65203",0,0,0,0
"120","65251",0,0,0,0
"121","65270",0,0,0,0
"122","65279",1,0,0,0
"123","65473",0,0,0,0
"124","65556",0,0,0,0
"125","65613",1,0,0,0
"126","65616",0,0,0,0
"127","65653",0,0,0,0
"128","65772",0,0,0,0
"129","65803",1,0,0,0
"130","65804",0,0,0,0
