"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","63005",2,1,0,0
"2","63011",0,0,0,0
"3","63017",1,0,0,0
"4","63021",0,0,0,0
"5","63025",0,0,0,0
"6","63026",0,0,0,0
"7","63028",0,0,0,0
"8","63033",0,0,0,0
"9","63043",2,1,0,0
"10","63069",0,0,0,0
"11","63088",0,0,0,0
"12","63105",0,0,0,0
"13","63106",1,0,0,0
"14","63114",0,0,0,0
"15","63115",0,0,0,0
"16","63116",2,0,0,0
"17","63118",1,0,0,0
"18","63119",2,0,0,0
"19","63122",2,1,1,0
"20","63123",0,0,0,0
"21","63124",1,0,0,0
"22","63128",0,0,0,0
"23","63129",1,0,0,0
"24","63131",1,0,0,0
"25","63136",0,0,0,0
"26","63137",1,1,0,0
"27","63138",1,0,0,0
"28","63141",1,0,0,0
"29","63301",2,1,1,0
"30","63303",1,1,0,0
"31","63304",2,0,0,0
"32","63341",0,0,0,0
"33","63357",0,0,0,0
"34","63361",0,0,0,0
"35","63376",1,0,0,0
"36","63385",1,0,0,0
"37","63401",1,0,0,0
"38","63552",0,0,0,0
"39","63558",1,0,0,0
"40","63630",0,0,0,0
"41","63648",0,0,0,0
"42","63664",1,0,0,0
"43","63701",1,0,0,0
"44","63703",0,0,0,0
"45","63771",1,0,0,0
"46","63775",1,0,0,0
"47","63801",1,0,0,0
"48","63834",1,0,0,0
"49","64011",0,0,0,0
"50","64012",1,0,0,0
"51","64015",0,0,0,0
"52","64019",0,0,0,0
"53","64030",1,0,0,0
"54","64050",0,0,0,0
"55","64052",0,0,0,0
"56","64053",1,0,0,0
"57","64055",1,0,0,0
"58","64057",1,0,0,0
"59","64063",0,0,0,0
"60","64064",0,0,0,0
"61","64068",0,0,0,0
"62","64070",1,1,1,1
"63","64076",1,0,0,0
"64","64078",0,0,0,0
"65","64079",0,0,0,0
"66","64081",1,0,0,0
"67","64082",1,0,0,0
"68","64086",0,0,0,0
"69","64089",1,0,0,0
"70","64093",0,0,0,0
"71","64108",2,0,0,0
"72","64109",1,0,0,0
"73","64112",1,0,0,0
"74","64113",4,1,1,1
"75","64114",3,0,0,0
"76","64116",0,0,0,0
"77","64118",0,0,0,0
"78","64119",1,0,0,0
"79","64124",1,1,0,0
"80","64125",0,0,0,0
"81","64126",0,0,0,0
"82","64129",0,0,0,0
"83","64130",2,0,0,0
"84","64131",1,0,0,0
"85","64132",0,0,0,0
"86","64133",1,0,0,0
"87","64134",0,0,0,0
"88","64136",1,0,0,0
"89","64137",1,1,0,0
"90","64138",1,0,0,0
"91","64145",0,0,0,0
"92","64151",0,0,0,0
"93","64152",1,0,0,0
"94","64154",1,0,0,0
"95","64155",0,0,0,0
"96","64157",0,0,0,0
"97","64402",0,0,0,0
"98","64429",0,0,0,0
"99","64501",0,0,0,0
"100","64504",1,0,0,0
"101","64649",0,0,0,0
"102","64735",0,0,0,0
"103","64801",0,0,0,0
"104","64834",0,0,0,0
"105","64836",0,0,0,0
"106","64843",1,0,0,0
"107","64861",0,0,0,0
"108","64870",1,0,0,0
"109","65020",0,0,0,0
"110","65026",0,0,0,0
"111","65043",0,0,0,0
"112","65053",0,0,0,0
"113","65101",0,0,0,0
"114","65109",0,0,0,0
"115","65202",1,0,0,0
"116","65231",0,0,0,0
"117","65323",0,0,0,0
"118","65325",1,0,0,0
"119","65336",0,0,0,0
"120","65401",1,1,0,0
"121","65457",1,0,0,0
"122","65473",0,0,0,0
"123","65536",1,0,0,0
"124","65565",0,0,0,0
"125","65571",0,0,0,0
"126","65583",0,0,0,0
"127","65584",0,0,0,0
"128","65616",1,0,0,0
"129","65633",0,0,0,0
"130","65644",1,0,0,0
"131","65648",0,0,0,0
"132","65649",1,1,0,0
"133","65663",0,0,0,0
"134","65672",0,0,0,0
"135","65681",0,0,0,0
"136","65682",0,0,0,0
"137","65711",0,0,0,0
"138","65714",0,0,0,0
"139","65721",1,1,1,0
"140","65738",1,0,0,0
"141","65747",0,0,0,0
"142","65761",0,0,0,0
"143","65769",0,0,0,0
"144","65804",2,1,1,1
"145","65806",0,0,0,0
"146","65807",3,1,0,0
"147","65810",0,0,0,0
