"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","63005",0,0,0,0
"2","63011",2,0,0,0
"3","63017",2,0,0,0
"4","63021",0,0,0,0
"5","63025",1,0,0,0
"6","63026",1,1,0,0
"7","63028",1,0,0,0
"8","63033",3,0,0,0
"9","63043",0,0,0,0
"10","63069",1,0,0,0
"11","63088",1,0,0,0
"12","63105",3,0,0,0
"13","63106",0,0,0,0
"14","63114",2,0,0,0
"15","63115",1,0,0,0
"16","63116",2,1,1,0
"17","63118",0,0,0,0
"18","63119",0,0,0,0
"19","63122",1,0,0,0
"20","63123",2,0,0,0
"21","63124",0,0,0,0
"22","63128",1,0,0,0
"23","63129",3,2,0,0
"24","63131",0,0,0,0
"25","63136",0,0,0,0
"26","63137",1,0,0,0
"27","63138",1,0,0,0
"28","63141",0,0,0,0
"29","63301",1,0,0,0
"30","63303",0,0,0,0
"31","63304",1,0,0,0
"32","63341",1,0,0,0
"33","63357",1,0,0,0
"34","63361",1,0,0,0
"35","63376",2,0,0,0
"36","63385",0,0,0,0
"37","63401",0,0,0,0
"38","63552",1,0,0,0
"39","63558",0,0,0,0
"40","63630",1,0,0,0
"41","63648",0,0,0,0
"42","63664",2,0,0,0
"43","63701",1,0,0,0
"44","63703",1,0,0,0
"45","63771",0,0,0,0
"46","63775",0,0,0,0
"47","63801",0,0,0,0
"48","63834",0,0,0,0
"49","64011",1,0,0,0
"50","64012",0,0,0,0
"51","64015",1,1,0,0
"52","64019",2,0,0,0
"53","64030",0,0,0,0
"54","64050",1,0,0,0
"55","64052",1,0,0,0
"56","64053",1,0,0,0
"57","64055",2,0,0,0
"58","64057",0,0,0,0
"59","64063",1,0,0,0
"60","64064",2,0,0,0
"61","64068",3,0,0,0
"62","64070",0,0,0,0
"63","64076",1,0,0,0
"64","64078",1,0,0,0
"65","64079",0,0,0,0
"66","64081",1,0,0,0
"67","64082",0,0,0,0
"68","64086",0,0,0,0
"69","64089",0,0,0,0
"70","64093",1,1,0,0
"71","64108",1,1,0,0
"72","64109",1,0,0,0
"73","64112",0,0,0,0
"74","64113",9,1,0,0
"75","64114",5,0,0,0
"76","64116",2,0,0,0
"77","64118",1,0,0,0
"78","64119",2,0,0,0
"79","64124",2,0,0,0
"80","64125",1,0,0,0
"81","64126",1,0,0,0
"82","64129",1,0,0,0
"83","64130",2,0,0,0
"84","64131",2,0,0,0
"85","64132",1,0,0,0
"86","64133",1,0,0,0
"87","64134",5,0,0,0
"88","64136",1,0,0,0
"89","64137",0,0,0,0
"90","64138",2,0,0,0
"91","64145",2,0,0,0
"92","64151",1,0,0,0
"93","64152",2,0,0,0
"94","64154",0,0,0,0
"95","64155",0,0,0,0
"96","64157",1,0,0,0
"97","64402",1,0,0,0
"98","64429",2,0,0,0
"99","64501",0,0,0,0
"100","64504",0,0,0,0
"101","64649",1,0,0,0
"102","64735",0,0,0,0
"103","64801",1,0,0,0
"104","64834",1,0,0,0
"105","64836",1,0,0,0
"106","64843",0,0,0,0
"107","64861",1,0,0,0
"108","64870",0,0,0,0
"109","65020",0,0,0,0
"110","65026",1,0,0,0
"111","65043",1,0,0,0
"112","65053",1,0,0,0
"113","65101",0,0,0,0
"114","65109",1,1,0,0
"115","65202",3,0,0,0
"116","65231",1,0,0,0
"117","65323",0,0,0,0
"118","65325",0,0,0,0
"119","65336",1,1,0,0
"120","65401",0,0,0,0
"121","65457",0,0,0,0
"122","65473",1,0,0,0
"123","65536",2,0,0,0
"124","65565",1,0,0,0
"125","65571",1,1,0,0
"126","65583",1,1,0,0
"127","65584",0,0,0,0
"128","65616",0,0,0,0
"129","65633",1,0,0,0
"130","65644",0,0,0,0
"131","65648",1,1,0,0
"132","65649",0,0,0,0
"133","65663",1,0,0,0
"134","65672",0,0,0,0
"135","65681",0,0,0,0
"136","65682",1,0,0,0
"137","65711",1,0,0,0
"138","65714",1,0,0,0
"139","65721",0,0,0,0
"140","65738",0,0,0,0
"141","65747",1,0,0,0
"142","65761",1,0,0,0
"143","65769",1,0,0,0
"144","65804",2,0,0,0
"145","65806",1,1,0,0
"146","65807",0,0,0,0
"147","65810",1,0,0,0
