"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","73003",0,0,0,0
"2","73018",1,0,0,0
"3","73034",0,0,0,0
"4","73036",0,0,0,0
"5","73049",0,0,0,0
"6","73064",0,0,0,0
"7","73069",0,0,0,0
"8","73071",0,0,0,0
"9","73099",0,0,0,0
"10","73103",0,0,0,0
"11","73105",0,0,0,0
"12","73107",0,0,0,0
"13","73112",0,0,0,0
"14","73114",0,0,0,0
"15","73116",0,0,0,0
"16","73118",0,0,0,0
"17","73122",0,0,0,0
"18","73139",0,0,0,0
"19","73147",0,0,0,0
"20","73160",0,0,0,0
"21","73162",0,0,0,0
"22","73505",0,0,0,0
"23","73521",0,0,0,0
"24","73533",0,0,0,0
"25","73701",0,0,0,0
"26","73717",0,0,0,0
"27","74003",0,0,0,0
"28","74006",0,0,0,0
"29","74012",0,0,0,0
"30","74014",0,0,0,0
"31","74030",0,0,0,0
"32","74055",0,0,0,0
"33","74066",0,0,0,0
"34","74070",0,0,0,0
"35","74074",0,0,0,0
"36","74105",0,0,0,0
"37","74106",0,0,0,0
"38","74110",0,0,0,0
"39","74114",0,0,0,0
"40","74126",0,0,0,0
"41","74129",0,0,0,0
"42","74133",0,0,0,0
"43","74136",0,0,0,0
"44","74137",0,0,0,0
"45","74346",0,0,0,0
"46","74354",0,0,0,0
"47","74403",0,0,0,0
"48","74429",0,0,0,0
"49","74441",0,0,0,0
"50","74467",0,0,0,0
"51","74701",0,0,0,0
"52","74764",0,0,0,0
"53","74820",0,0,0,0
"54","74857",0,0,0,0
"55","74878",0,0,0,0
"56","74931",0,0,0,0
