"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","10009",1,0,0,0
"2","10013",1,1,1,1
"3","10021",1,0,0,0
"4","10023",2,0,0,0
"5","10025",2,1,0,0
"6","10029",1,0,0,0
"7","10031",1,0,0,0
"8","10034",1,0,0,0
"9","10035",1,0,0,0
"10","10037",2,0,0,0
"11","10040",1,0,0,0
"12","10301",1,1,1,0
"13","10303",1,0,0,0
"14","10305",1,1,0,0
"15","10312",1,0,0,0
"16","10314",1,0,0,0
"17","10453",2,0,0,0
"18","10459",1,0,0,0
"19","10462",1,0,0,0
"20","10463",1,1,1,1
"21","10465",1,0,0,0
"22","10466",1,0,0,0
"23","10469",1,0,0,0
"24","10512",1,0,0,0
"25","10520",1,0,0,0
"26","10549",1,1,0,0
"27","10550",1,0,0,0
"28","10552",2,0,0,0
"29","10562",1,0,0,0
"30","10580",1,1,0,0
"31","10605",1,0,0,0
"32","10701",2,0,0,0
"33","10705",1,0,0,0
"34","10940",1,0,0,0
"35","10977",1,0,0,0
"36","10989",1,0,0,0
"37","11101",1,0,0,0
"38","11105",1,0,0,0
"39","11207",1,0,0,0
"40","11208",1,0,0,0
"41","11210",1,0,0,0
"42","11218",1,0,0,0
"43","11219",2,1,0,0
"44","11223",1,0,0,0
"45","11224",1,0,0,0
"46","11225",1,0,0,0
"47","11228",1,0,0,0
"48","11230",1,0,0,0
"49","11231",2,1,0,0
"50","11361",1,0,0,0
"51","11364",1,0,0,0
"52","11367",1,1,0,0
"53","11368",1,0,0,0
"54","11375",2,0,0,0
"55","11378",1,0,0,0
"56","11385",2,0,0,0
"57","11413",1,0,0,0
"58","11429",1,0,0,0
"59","11433",1,0,0,0
"60","11518",1,0,0,0
"61","11520",1,0,0,0
"62","11530",2,0,0,0
"63","11570",2,0,0,0
"64","11691",1,0,0,0
"65","11725",1,0,0,0
"66","11727",1,0,0,0
"67","11729",2,0,0,0
"68","11733",3,0,0,0
"69","11746",1,0,0,0
"70","11756",1,0,0,0
"71","11767",1,0,0,0
"72","11772",1,0,0,0
"73","11792",2,0,0,0
"74","11967",1,0,0,0
"75","11978",1,1,0,0
"76","12025",1,0,0,0
"77","12065",1,1,0,0
"78","12077",1,0,0,0
"79","12084",1,0,0,0
"80","12087",1,0,0,0
"81","12092",1,0,0,0
"82","12118",1,0,0,0
"83","12140",2,0,0,0
"84","12192",1,1,0,0
"85","12209",1,0,0,0
"86","12303",1,1,0,0
"87","12308",1,0,0,0
"88","12309",1,0,0,0
"89","12498",1,0,0,0
"90","12508",1,0,0,0
"91","12522",1,0,0,0
"92","12534",2,1,0,0
"93","12561",1,0,0,0
"94","12566",1,1,0,0
"95","12571",2,0,0,0
"96","12590",1,1,0,0
"97","12601",1,0,0,0
"98","12603",1,0,0,0
"99","12839",1,0,0,0
"100","12866",1,1,0,0
"101","12946",1,1,0,0
"102","12983",1,1,0,0
"103","13066",1,0,0,0
"104","13104",1,0,0,0
"105","13108",1,0,0,0
"106","13118",1,0,0,0
"107","13126",1,0,0,0
"108","13135",1,0,0,0
"109","13202",1,0,0,0
"110","13212",1,0,0,0
"111","13219",1,0,0,0
"112","13334",1,0,0,0
"113","13413",1,0,0,0
"114","13421",1,0,0,0
"115","13480",1,0,0,0
"116","13492",2,0,0,0
"117","13501",1,0,0,0
"118","13502",1,0,0,0
"119","13760",1,0,0,0
"120","13835",1,0,0,0
"121","13850",1,1,1,0
"122","14032",1,0,0,0
"123","14085",1,0,0,0
"124","14086",1,0,0,0
"125","14094",1,0,0,0
"126","14098",1,1,0,0
"127","14221",1,0,0,0
"128","14424",1,0,0,0
"129","14425",1,0,0,0
"130","14450",2,0,0,0
"131","14456",1,0,0,0
"132","14464",1,0,0,0
"133","14505",1,0,0,0
"134","14513",1,0,0,0
"135","14559",1,0,0,0
"136","14580",1,0,0,0
"137","14609",3,1,0,0
"138","14611",1,0,0,0
"139","14612",2,0,0,0
"140","14617",1,1,0,0
"141","14621",1,0,0,0
"142","14624",1,0,0,0
"143","14625",1,1,1,1
"144","14760",1,0,0,0
"145","14870",1,1,1,0
"146","14895",1,0,0,0
