"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"85","85243",1,0,0,0
"86","85247",2,0,0,0
"87","85248",2,1,0,0
"88","85249",8,3,0,0
"89","85250",6,1,0,0
"90","85251",4,3,1,0
"91","85253",10,3,0,1
"92","85254",15,6,1,0
"93","85255",9,1,0,0
"94","85257",3,2,0,0
"95","85258",8,4,1,0
"96","85259",12,6,2,0
"97","85260",10,4,0,0
"98","85262",4,2,1,0
"99","85264",0,0,0,0
"100","85266",3,3,1,0
"101","85268",2,2,0,0
"102","85277",1,0,0,0
"103","85281",2,0,0,0
"104","85282",6,3,0,0
"105","85283",7,2,0,0
"106","85284",5,1,0,0
"107","85286",7,2,0,0
"108","85292",1,0,0,0
"109","85293",1,0,0,0
"110","85295",8,3,0,0
"111","85296",3,0,0,0
"112","85297",5,2,0,0
"113","85298",2,0,0,0
"114","85299",1,0,0,0
"115","85301",8,2,1,0
"116","85302",6,1,1,0
"117","85303",1,0,0,0
"118","85304",10,5,0,0
"119","85305",1,0,0,0
"120","85306",1,0,0,0
"121","85307",1,0,0,0
"122","85308",5,3,2,0
"123","85310",9,3,0,0
"124","85318",1,0,0,0
"125","85323",8,4,0,0
"126","85326",8,3,0,0
"127","85327",1,0,0,0
"128","85328",0,0,0,0
"129","85331",3,1,0,0
"130","85335",2,0,0,0
"131","85338",4,3,1,0
"132","85339",5,3,0,0
"133","85340",9,4,1,0
"134","85344",2,1,0,0
"135","85345",7,1,0,0
"136","85349",4,3,0,0
"137","85350",2,0,0,0
"138","85353",5,1,0,0
"139","85354",1,1,0,0
"140","85355",1,1,0,0
"141","85364",9,4,1,0
"142","85365",10,7,0,0
"143","85366",0,0,0,0
"144","85367",2,0,0,0
"145","85372",0,0,0,0
"146","85373",1,0,0,0
"147","85374",8,2,1,1
"148","85377",1,0,0,0
"149","85379",4,1,0,0
"150","85381",6,1,0,0
"151","85382",4,3,1,0
"152","85383",8,3,2,0
"153","85388",5,2,0,0
"154","85390",2,1,0,0
"155","85392",7,1,0,0
"156","85395",8,1,1,0
"157","85396",1,1,0,0
"158","85501",1,1,1,1
"159","85534",1,0,0,0
"160","85540",1,0,0,0
"161","85541",1,0,0,0
"162","85542",0,0,0,0
"163","85543",1,0,0,0
"164","85546",0,0,0,0
"165","85550",1,0,0,0
"166","85602",1,0,0,0
"167","85603",3,1,0,0
"168","85607",3,1,0,0
"169","85608",1,0,0,0
"170","85614",3,2,0,0
"171","85615",1,0,0,0
"172","85618",1,0,0,0
"173","85621",15,4,0,0
"174","85624",1,1,0,0
"175","85626",1,0,0,0
"176","85629",6,0,0,0
"177","85631",1,0,0,0
"178","85634",1,0,0,0
"179","85635",5,0,0,0
"180","85637",1,0,0,0
"181","85641",4,2,0,0
"182","85645",2,0,0,0
"183","85648",4,2,0,0
"184","85650",6,2,0,0
"185","85653",1,0,0,0
"186","85658",2,1,0,0
"187","85701",0,0,0,0
"188","85702",2,0,0,0
"189","85704",8,0,0,0
"190","85705",8,3,0,0
"191","85706",10,4,0,0
"192","85708",1,0,0,0
"193","85710",10,4,1,0
"194","85711",8,3,0,0
"195","85712",4,1,0,0
"196","85713",2,0,0,0
"197","85715",6,4,0,0
"198","85716",3,0,0,0
"199","85718",8,1,0,0
"200","85719",5,1,0,0
"201","85721",1,0,0,0
"202","85730",4,0,0,0
"203","85735",1,0,0,0
"204","85737",12,7,2,1
"205","85739",1,0,0,0
"206","85740",1,0,0,0
"207","85741",8,1,1,0
"208","85742",7,2,2,1
"209","85743",4,0,0,0
"210","85745",11,3,1,0
"211","85746",2,1,0,0
"212","85747",5,0,0,0
"213","85748",3,1,0,0
"214","85749",6,0,0,0
"215","85750",13,6,0,0
"216","85752",1,0,0,0
"217","85754",1,1,0,0
"218","85755",5,3,0,0
"219","85756",1,0,0,0
"220","85757",3,1,0,0
"221","85901",1,0,0,0
"222","85902",2,0,0,0
"223","85929",1,0,0,0
"224","85935",2,0,0,0
"225","85937",1,1,0,0
"226","85938",0,0,0,0
"227","85941",1,0,0,0
"228","86001",5,1,0,0
"229","86003",2,0,0,0
"230","86004",13,4,0,0
"231","86025",2,0,0,0
"232","86033",0,0,0,0
"233","86040",1,0,0,0
"234","86042",0,0,0,0
"235","86045",4,0,0,0
"236","86046",2,1,0,0
"237","86047",0,0,0,0
"238","86301",1,1,0,0
"239","86302",1,1,1,1
"240","86303",2,0,0,0
"241","86305",3,1,0,0
"242","86314",2,0,0,0
"243","86315",1,0,0,0
"244","86322",0,0,0,0
"245","86325",0,0,0,0
"246","86333",0,0,0,0
"247","86336",0,0,0,0
"248","86351",1,0,0,0
"249","86401",3,1,0,0
"250","86403",1,0,0,0
"251","86404",2,0,0,0
"252","86406",5,0,0,0
"253","86409",3,0,0,0
"254","86426",1,0,0,0
"255","86440",1,1,0,0
"256","86442",4,2,0,0
"257","86503",0,0,0,0
"258","86504",0,0,0,0
"259","86515",2,1,0,0
