"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","55001",0,0,0,0
"2","55007",0,0,0,0
"3","55008",0,0,0,0
"4","55014",1,1,0,0
"5","55016",0,0,0,0
"6","55021",1,1,0,0
"7","55024",0,0,0,0
"8","55038",0,0,0,0
"9","55042",1,1,1,0
"10","55044",0,0,0,0
"11","55051",0,0,0,0
"12","55055",0,0,0,0
"13","55057",0,0,0,0
"14","55066",0,0,0,0
"15","55073",0,0,0,0
"16","55075",0,0,0,0
"17","55082",1,1,1,0
"18","55102",0,0,0,0
"19","55103",1,1,0,0
"20","55104",4,4,1,0
"21","55105",3,3,3,0
"22","55106",0,0,0,0
"23","55108",1,1,1,1
"24","55109",1,1,1,0
"25","55110",0,0,0,0
"26","55112",0,0,0,0
"27","55116",7,7,2,0
"28","55118",2,2,2,0
"29","55120",1,1,1,0
"30","55122",0,0,0,0
"31","55123",1,1,1,0
"32","55124",0,0,0,0
"33","55125",1,1,0,0
"34","55126",0,0,0,0
"35","55127",2,2,2,0
"36","55128",0,0,0,0
"37","55129",1,1,0,0
"38","55130",1,1,0,0
"39","55304",0,0,0,0
"40","55305",0,0,0,0
"41","55306",1,1,0,0
"42","55316",0,0,0,0
"43","55328",0,0,0,0
"44","55329",0,0,0,0
"45","55331",1,1,0,0
"46","55337",5,3,2,1
"47","55340",1,1,1,0
"48","55343",0,0,0,0
"49","55344",1,1,0,0
"50","55345",2,2,0,0
"51","55346",0,0,0,0
"52","55347",2,2,1,0
"53","55350",0,0,0,0
"54","55356",0,0,0,0
"55","55364",1,1,1,0
"56","55372",0,0,0,0
"57","55378",0,0,0,0
"58","55387",0,0,0,0
"59","55388",0,0,0,0
"60","55391",0,0,0,0
"61","55401",0,0,0,0
"62","55405",0,0,0,0
"63","55406",1,1,1,0
"64","55407",0,0,0,0
"65","55410",2,2,1,0
"66","55413",2,2,0,0
"67","55414",1,1,0,0
"68","55416",0,0,0,0
"69","55418",0,0,0,0
"70","55419",4,4,3,1
"71","55421",0,0,0,0
"72","55422",2,2,0,0
"73","55423",0,0,0,0
"74","55424",0,0,0,0
"75","55427",1,1,1,0
"76","55428",0,0,0,0
"77","55429",0,0,0,0
"78","55430",0,0,0,0
"79","55431",0,0,0,0
"80","55433",0,0,0,0
"81","55434",0,0,0,0
"82","55436",0,0,0,0
"83","55438",1,1,0,0
"84","55439",0,0,0,0
"85","55441",0,0,0,0
"86","55442",0,0,0,0
"87","55443",0,0,0,0
"88","55445",0,0,0,0
"89","55446",0,0,0,0
"90","55447",2,2,1,1
"91","55449",0,0,0,0
"92","55614",0,0,0,0
"93","55720",0,0,0,0
"94","55744",1,1,0,0
"95","55802",0,0,0,0
"96","55804",0,0,0,0
"97","55805",0,0,0,0
"98","55811",0,0,0,0
"99","55812",0,0,0,0
"100","55901",0,0,0,0
"101","55902",0,0,0,0
"102","55904",0,0,0,0
"103","55906",0,0,0,0
"104","55909",0,0,0,0
"105","55955",0,0,0,0
"106","55963",0,0,0,0
"107","55972",0,0,0,0
"108","55976",0,0,0,0
"109","55987",0,0,0,0
"110","56001",0,0,0,0
"111","56028",1,1,1,1
"112","56082",0,0,0,0
"113","56278",0,0,0,0
"114","56301",0,0,0,0
"115","56303",1,1,1,1
"116","56304",0,0,0,0
"117","56308",0,0,0,0
"118","56310",1,1,1,1
"119","56314",1,1,1,1
"120","56321",0,0,0,0
"121","56358",0,0,0,0
"122","56374",2,2,1,0
"123","56377",0,0,0,0
"124","56379",0,0,0,0
"125","56401",0,0,0,0
"126","56425",0,0,0,0
"127","56501",0,0,0,0
"128","56549",0,0,0,0
"129","56601",0,0,0,0
"130","56647",0,0,0,0
"131","56701",0,0,0,0
