"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","96701",0,0,0,0
"2","96703",0,0,0,0
"3","96704",0,0,0,0
"4","96705",0,0,0,0
"5","96706",0,0,0,0
"6","96707",0,0,0,0
"7","96708",0,0,0,0
"8","96709",0,0,0,0
"9","96712",0,0,0,0
"10","96713",0,0,0,0
"11","96714",0,0,0,0
"12","96715",0,0,0,0
"13","96716",0,0,0,0
"14","96717",0,0,0,0
"15","96719",0,0,0,0
"16","96720",0,0,0,0
"17","96721",0,0,0,0
"18","96722",0,0,0,0
"19","96725",0,0,0,0
"20","96726",0,0,0,0
"21","96727",0,0,0,0
"22","96728",0,0,0,0
"23","96729",0,0,0,0
"24","96730",0,0,0,0
"25","96731",0,0,0,0
"26","96732",0,0,0,0
"27","96733",0,0,0,0
"28","96734",0,0,0,0
"29","96737",0,0,0,0
"30","96738",0,0,0,0
"31","96739",0,0,0,0
"32","96740",0,0,0,0
"33","96741",0,0,0,0
"34","96743",0,0,0,0
"35","96744",0,0,0,0
"36","96745",0,0,0,0
"37","96746",0,0,0,0
"38","96747",0,0,0,0
"39","96748",0,0,0,0
"40","96749",0,0,0,0
"41","96750",0,0,0,0
"42","96751",0,0,0,0
"43","96752",0,0,0,0
"44","96753",0,0,0,0
"45","96754",0,0,0,0
"46","96755",0,0,0,0
"47","96756",0,0,0,0
"48","96759",0,0,0,0
"49","96760",0,0,0,0
"50","96761",0,0,0,0
"51","96762",0,0,0,0
"52","96763",0,0,0,0
"53","96765",0,0,0,0
"54","96766",0,0,0,0
"55","96767",0,0,0,0
"56","96768",0,0,0,0
"57","96770",0,0,0,0
"58","96771",0,0,0,0
"59","96772",0,0,0,0
"60","96777",0,0,0,0
"61","96778",0,0,0,0
"62","96779",0,0,0,0
"63","96780",0,0,0,0
"64","96781",0,0,0,0
"65","96782",0,0,0,0
"66","96783",0,0,0,0
"67","96784",0,0,0,0
"68","96785",0,0,0,0
"69","96786",0,0,0,0
"70","96788",0,0,0,0
"71","96789",0,0,0,0
"72","96790",0,0,0,0
"73","96791",0,0,0,0
"74","96792",0,0,0,0
"75","96793",0,0,0,0
"76","96795",0,0,0,0
"77","96796",0,0,0,0
"78","96797",0,0,0,0
"79","96803",0,0,0,0
"80","96806",0,0,0,0
"81","96813",0,0,0,0
"82","96814",0,0,0,0
"83","96815",0,0,0,0
"84","96816",0,0,0,0
"85","96817",0,0,0,0
"86","96818",0,0,0,0
"87","96819",0,0,0,0
"88","96820",0,0,0,0
"89","96821",0,0,0,0
"90","96822",0,0,0,0
"91","96823",0,0,0,0
"92","96824",0,0,0,0
"93","96825",0,0,0,0
"94","96826",0,0,0,0
"95","96828",0,0,0,0
"96","96830",0,0,0,0
"97","96839",0,0,0,0
