"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","55008",1,0,0,0
"2","55009",1,0,0,0
"3","55021",1,1,0,0
"4","55024",3,0,0,0
"5","55025",2,0,0,0
"6","55033",1,1,0,0
"7","55044",0,0,0,0
"8","55057",3,0,0,0
"9","55060",1,0,0,0
"10","55068",4,2,0,0
"11","55073",1,0,0,0
"12","55076",1,0,0,0
"13","55077",1,0,0,0
"14","55082",4,2,0,0
"15","55103",2,0,0,0
"16","55104",3,0,0,0
"17","55105",5,1,0,0
"18","55106",2,1,0,0
"19","55107",0,0,0,0
"20","55108",1,1,0,0
"21","55110",1,0,0,0
"22","55112",0,0,0,0
"23","55113",2,1,1,0
"24","55115",2,1,0,0
"25","55116",1,0,0,0
"26","55117",2,0,0,0
"27","55118",4,1,1,0
"28","55119",2,0,0,0
"29","55122",1,1,0,0
"30","55123",1,0,0,0
"31","55124",1,0,0,0
"32","55126",2,1,0,0
"33","55129",0,0,0,0
"34","55130",0,0,0,0
"35","55303",1,0,0,0
"36","55304",2,0,0,0
"37","55305",3,1,1,0
"38","55306",2,0,0,0
"39","55311",1,0,0,0
"40","55318",0,0,0,0
"41","55322",1,0,0,0
"42","55328",1,0,0,0
"43","55330",2,0,0,0
"44","55331",3,2,0,0
"45","55335",1,0,0,0
"46","55337",5,1,1,1
"47","55340",2,1,0,0
"48","55343",1,0,0,0
"49","55344",0,0,0,0
"50","55345",1,0,0,0
"51","55347",2,1,0,0
"52","55349",0,0,0,0
"53","55359",1,1,0,0
"54","55364",4,1,0,0
"55","55369",0,0,0,0
"56","55372",2,1,0,0
"57","55374",0,0,0,0
"58","55376",1,0,0,0
"59","55379",0,0,0,0
"60","55386",0,0,0,0
"61","55387",2,0,0,0
"62","55391",3,2,0,0
"63","55404",0,0,0,0
"64","55405",0,0,0,0
"65","55406",1,0,0,0
"66","55407",1,1,0,0
"67","55408",1,1,0,0
"68","55410",6,2,0,0
"69","55412",0,0,0,0
"70","55413",0,0,0,0
"71","55414",1,0,0,0
"72","55416",1,1,0,0
"73","55417",2,0,0,0
"74","55419",1,0,0,0
"75","55420",1,1,0,0
"76","55422",0,0,0,0
"77","55423",0,0,0,0
"78","55424",1,1,0,0
"79","55425",1,0,0,0
"80","55426",0,0,0,0
"81","55431",1,0,0,0
"82","55435",1,1,0,0
"83","55436",0,0,0,0
"84","55437",2,1,1,1
"85","55438",2,0,0,0
"86","55439",0,0,0,0
"87","55442",1,1,1,1
"88","55443",1,0,0,0
"89","55444",1,1,0,0
"90","55446",1,1,0,0
"91","55447",1,0,0,0
"92","55448",1,0,0,0
"93","55449",1,0,0,0
"94","55720",1,0,0,0
"95","55744",0,0,0,0
"96","55769",0,0,0,0
"97","55790",1,0,0,0
"98","55792",1,1,0,0
"99","55803",0,0,0,0
"100","55807",0,0,0,0
"101","55811",3,0,0,0
"102","55902",2,0,0,0
"103","55904",1,0,0,0
"104","56001",1,0,0,0
"105","56003",1,0,0,0
"106","56074",1,0,0,0
"107","56081",1,0,0,0
"108","56082",0,0,0,0
"109","56157",0,0,0,0
"110","56277",1,0,0,0
"111","56288",2,0,0,0
"112","56303",0,0,0,0
"113","56304",3,0,0,0
"114","56320",0,0,0,0
"115","56321",1,1,1,0
"116","56345",2,1,1,1
"117","56359",1,0,0,0
"118","56401",1,0,0,0
"119","56425",0,0,0,0
"120","56472",0,0,0,0
"121","56479",1,0,0,0
"122","56560",1,1,0,0
"123","56601",2,1,1,0
"124","56701",1,0,0,0
